countCombo3: Line=2, Cnt=162, 13.914µs
countCombo3: Line=90, Cnt=16, 6.393µs
countCombo3: Line=89, Cnt=162, 12.786µs
countCombo3: Line=25, Cnt=1747160, 56.794641ms
countCombo3: Line=92, Cnt=60000, 2.367362ms
countCombo3: Line=68, Cnt=689696, 56.360359ms
countCombo3: Line=93, Cnt=32, 786.327µs
countCombo3: Line=94, Cnt=294240, 9.770182ms
countCombo3: Line=95, Cnt=1, 7.532µs
countCombo3: Line=79, Cnt=490851, 46.668984ms
countCombo3: Line=69, Cnt=1886779, 88.59555ms
countCombo3: Line=100, Cnt=8562, 496.014µs
countCombo3: Line=99, Cnt=441, 54.388µs
countCombo3: Line=75, Cnt=2523640, 83.593593ms
countCombo3: Line=71, Cnt=3613948, 114.21063ms
countCombo3: Line=35, Cnt=612753, 127.226493ms
countCombo3: Line=103, Cnt=62406, 10.288587ms
countCombo3: Line=106, Cnt=22654, 1.216829ms
countCombo3: Line=105, Cnt=2729, 210.366µs
countCombo3: Line=108, Cnt=1, 5.72µs
countCombo3: Line=97, Cnt=1028322, 69.71629ms
countCombo3: Line=110, Cnt=638640, 25.87839ms
countCombo3: Line=15, Cnt=3911816, 231.010873ms
countCombo3: Line=112, Cnt=136616, 10.433494ms
countCombo3: Line=111, Cnt=20480, 886.083µs
countCombo3: Line=114, Cnt=889310, 40.777085ms
countCombo3: Line=30, Cnt=2127768, 294.26623ms
countCombo3: Line=7, Cnt=7230257, 339.478221ms
countCombo3: Line=98, Cnt=8117307, 275.801075ms
countCombo3: Line=118, Cnt=124416, 6.85636ms
countCombo3: Line=117, Cnt=180750, 8.462487ms
countCombo3: Line=120, Cnt=1, 16.877µs
countCombo3: Line=119, Cnt=9036, 1.139062ms
countCombo3: Line=122, Cnt=32, 38.357µs
countCombo3: Line=121, Cnt=2089, 131.851µs
countCombo3: Line=124, Cnt=1, 5.047µs
countCombo3: Line=123, Cnt=32, 16.975µs
countCombo3: Line=61, Cnt=7986457, 394.080996ms
countCombo3: Line=125, Cnt=1024, 119.727µs
countCombo3: Line=128, Cnt=3888, 551.866µs
countCombo3: Line=52, Cnt=4942992, 441.69928ms
countCombo3: Line=130, Cnt=4251876, 141.257595ms
countCombo3: Line=129, Cnt=7588, 318.252µs
countCombo3: Line=132, Cnt=768, 53.758µs
countCombo3: Line=131, Cnt=38647, 2.208899ms
countCombo3: Line=115, Cnt=5071029, 262.041579ms
countCombo3: Line=133, Cnt=5184, 337.734µs
countCombo3: Line=136, Cnt=1690, 205.547µs
countCombo3: Line=134, Cnt=644160, 18.922312ms
countCombo3: Line=135, Cnt=719198, 55.812738ms
countCombo3: Line=137, Cnt=32, 20.384µs
countCombo3: Line=140, Cnt=243, 17.55µs
countCombo3: Line=101, Cnt=13302046, 596.406408ms
countCombo3: Line=142, Cnt=16, 21.696µs
countCombo3: Line=141, Cnt=2500, 345.831µs
countCombo3: Line=144, Cnt=512, 42.492µs
countCombo3: Line=143, Cnt=625, 258.437µs
countCombo3: Line=146, Cnt=357696, 13.906064ms
countCombo3: Line=145, Cnt=50000, 1.818773ms
countCombo3: Line=148, Cnt=1, 6.187µs
countCombo3: Line=147, Cnt=248728, 10.161046ms
countCombo3: Line=150, Cnt=1024, 131.504µs
countCombo3: Line=149, Cnt=16384, 1.60983ms
countCombo3: Line=152, Cnt=256, 21.729µs
countCombo3: Line=151, Cnt=6416, 2.223182ms
countCombo3: Line=154, Cnt=2989, 259.49µs
countCombo3: Line=153, Cnt=32, 10.517µs
countCombo3: Line=156, Cnt=243, 13.99µs
countCombo3: Line=155, Cnt=1, 4.027µs
countCombo3: Line=113, Cnt=6730752, 775.365456ms
countCombo3: Line=157, Cnt=32, 24.344µs
countCombo3: Line=158, Cnt=4174224, 328.4698ms
countCombo3: Line=159, Cnt=12973, 866.2µs
countCombo3: Line=162, Cnt=845000, 21.295297ms
countCombo3: Line=161, Cnt=16384, 14.645906ms
countCombo3: Line=164, Cnt=162, 236.546µs
countCombo3: Line=104, Cnt=371293, 1.055155509s
countCombo3: Line=166, Cnt=512, 180.985µs
countCombo3: Line=165, Cnt=81520, 6.23861ms
countCombo3: Line=168, Cnt=57052, 6.11057ms
countCombo3: Line=167, Cnt=243, 37.348µs
countCombo3: Line=170, Cnt=162, 30.9µs
countCombo3: Line=169, Cnt=16, 16.487µs
countCombo3: Line=172, Cnt=1, 14.131µs
countCombo3: Line=139, Cnt=20160657, 618.234186ms
countCombo3: Line=174, Cnt=1, 74.836µs
countCombo3: Line=173, Cnt=1, 13.046µs
countCombo3: Line=176, Cnt=1, 4.743µs
countCombo3: Line=175, Cnt=62448, 2.720009ms
countCombo3: Line=160, Cnt=11457568, 306.142779ms
countCombo3: Line=177, Cnt=10008, 577.525µs
countCombo3: Line=116, Cnt=13034411, 1.099532318s
countCombo3: Line=179, Cnt=4201422, 112.617303ms
countCombo3: Line=180, Cnt=163192506, 4.16147457s
countCombo3: Line=181, Cnt=1, 27.796µs
countCombo3: Line=184, Cnt=1024, 48.994µs
countCombo3: Line=183, Cnt=2592, 379.326µs
countCombo3: Line=186, Cnt=7203, 840.336µs
countCombo3: Line=185, Cnt=852, 114.148µs
countCombo3: Line=188, Cnt=170073, 9.250876ms
countCombo3: Line=187, Cnt=15620, 523.375µs
countCombo3: Line=190, Cnt=86296, 10.983613ms
countCombo3: Line=189, Cnt=782, 41.277µs
countCombo3: Line=192, Cnt=1221456, 96.151345ms
countCombo3: Line=191, Cnt=81, 17.192µs
countCombo3: Line=194, Cnt=866889, 37.651126ms
countCombo3: Line=193, Cnt=15943128, 1.327770637s
countCombo3: Line=196, Cnt=1, 15.619µs
countCombo3: Line=195, Cnt=334352, 11.338605ms
countCombo3: Line=198, Cnt=91575, 2.33822ms
countCombo3: Line=91, Cnt=187107788, 9.986467051s
countCombo3: Line=200, Cnt=32, 17.984µs
countCombo3: Line=199, Cnt=512, 29.901µs
countCombo3: Line=202, Cnt=234021, 7.938633ms
countCombo3: Line=201, Cnt=512, 41.721µs
countCombo3: Line=204, Cnt=152869, 7.056359ms
countCombo3: Line=203, Cnt=1, 9.204µs
countCombo3: Line=206, Cnt=371293, 16.516464ms
countCombo3: Line=205, Cnt=59049, 2.460118ms
countCombo3: Line=208, Cnt=468663, 26.198013ms
countCombo3: Line=207, Cnt=5184, 1.139691ms
countCombo3: Line=109, Cnt=183274798, 10.245883794s
countCombo3: Line=210, Cnt=19054292, 791.229299ms
countCombo3: Line=212, Cnt=1, 13.86µs
countCombo3: Line=211, Cnt=571, 28.339µs
countCombo3: Line=214, Cnt=5184, 922.921µs
countCombo3: Line=213, Cnt=1415928, 126.356131ms
countCombo3: Line=216, Cnt=32, 12.786µs
countCombo3: Line=215, Cnt=5184, 997.063µs
countCombo3: Line=218, Cnt=16, 9.79µs
countCombo3: Line=217, Cnt=2683, 86.439µs
countCombo3: Line=220, Cnt=1, 4.374µs
countCombo3: Line=171, Cnt=266061162, 9.969770499s
countCombo3: Line=222, Cnt=35088, 2.043738ms
countCombo3: Line=209, Cnt=46878525, 1.560619593s
countCombo3: Line=224, Cnt=2708608, 76.481977ms
countCombo3: Line=223, Cnt=32, 11.592µs
countCombo3: Line=226, Cnt=2500, 150.497µs
countCombo3: Line=225, Cnt=307328, 24.921024ms
countCombo3: Line=228, Cnt=2772332, 123.387096ms
countCombo3: Line=227, Cnt=32, 11.342µs
countCombo3: Line=230, Cnt=2178, 546.19µs
countCombo3: Line=229, Cnt=4422505, 285.283984ms
countCombo3: Line=232, Cnt=85683, 11.501291ms
countCombo3: Line=231, Cnt=610423, 57.193802ms
countCombo3: Line=234, Cnt=3125, 257.59µs
countCombo3: Line=233, Cnt=3888, 154.535µs
countCombo3: Line=236, Cnt=17598, 783.028µs
countCombo3: Line=235, Cnt=2811072, 138.757509ms
countCombo3: Line=238, Cnt=32, 607.328µs
countCombo3: Line=237, Cnt=571, 80.079µs
countCombo3: Line=197, Cnt=106168320, 5.949089837s
countCombo3: Line=221, Cnt=62615925, 1.929944119s
countCombo3: Line=242, Cnt=32300, 2.184836ms
countCombo3: Line=241, Cnt=162, 54.887µs
countCombo3: Line=244, Cnt=162, 45.954µs
countCombo3: Line=243, Cnt=712600, 19.724557ms
countCombo3: Line=246, Cnt=16, 12.059µs
countCombo3: Line=240, Cnt=19965007, 2.624170171s
countCombo3: Line=248, Cnt=32, 21.979µs
countCombo3: Line=247, Cnt=1, 6.773µs
countCombo3: Line=245, Cnt=50888397, 2.592403096s
countCombo3: Line=249, Cnt=1, 14.544µs
countCombo3: Line=252, Cnt=32, 72.09µs
countCombo3: Line=251, Cnt=14406, 490.293µs
countCombo3: Line=254, Cnt=109755, 2.605731ms
countCombo3: Line=253, Cnt=162, 6.830744ms
countCombo3: Line=250, Cnt=24300000, 818.886001ms
countCombo3: Line=255, Cnt=3691501, 158.411006ms
countCombo3: Line=258, Cnt=512, 11.580273ms
countCombo3: Line=219, Cnt=183685895, 8.716502411s
countCombo3: Line=260, Cnt=18821058, 464.680641ms
countCombo3: Line=138, Cnt=316345974, 20.056981083s
countCombo3: Line=262, Cnt=5184, 385.078µs
countCombo3: Line=257, Cnt=128871558, 4.921097515s
countCombo3: Line=264, Cnt=45927, 3.484303ms
countCombo3: Line=263, Cnt=1024, 161.59µs
countCombo3: Line=266, Cnt=24576, 1.068014ms
countCombo3: Line=265, Cnt=4373989, 110.626127ms
countCombo3: Line=268, Cnt=1250, 71.189µs
countCombo3: Line=267, Cnt=26244, 2.019502ms
countCombo3: Line=270, Cnt=138816, 47.634204ms
countCombo3: Line=269, Cnt=243, 48.039µs
countCombo3: Line=127, Cnt=460699808, 21.503323171s
countCombo3: Line=271, Cnt=16, 19.287µs
countCombo3: Line=274, Cnt=15620, 1.024089ms
countCombo3: Line=273, Cnt=165888, 7.70134ms
countCombo3: Line=276, Cnt=1, 17.257µs
countCombo3: Line=275, Cnt=1, 5.655µs
countCombo3: Line=278, Cnt=200474, 12.405154ms
countCombo3: Line=277, Cnt=68432, 2.000062ms
countCombo3: Line=280, Cnt=32, 10.756µs
countCombo3: Line=279, Cnt=81, 18.777µs
countCombo3: Line=282, Cnt=272896, 16.543918ms
countCombo3: Line=261, Cnt=24275618, 1.698017165s
countCombo3: Line=284, Cnt=1, 22.5µs
countCombo3: Line=283, Cnt=307328, 12.887014ms
countCombo3: Line=281, Cnt=20334147, 814.25649ms
countCombo3: Line=286, Cnt=17149205, 1.042541545s
countCombo3: Line=288, Cnt=32, 125.023µs
countCombo3: Line=287, Cnt=32, 11.027µs
countCombo3: Line=290, Cnt=1, 5.546µs
countCombo3: Line=289, Cnt=14841, 549.413µs
countCombo3: Line=292, Cnt=84462, 9.411187ms
countCombo3: Line=291, Cnt=32, 22.673µs
countCombo3: Line=294, Cnt=92727, 61.273058ms
countCombo3: Line=293, Cnt=24576, 1.154115ms
countCombo3: Line=272, Cnt=86842750, 2.147054733s
countCombo3: Line=295, Cnt=1875, 341.749µs
countCombo3: Line=298, Cnt=42786, 2.056415ms
countCombo3: Line=297, Cnt=1121612, 101.952188ms
countCombo3: Line=285, Cnt=202581582, 5.993170464s
countCombo3: Line=299, Cnt=13645, 606.156µs
countCombo3: Line=302, Cnt=5354576, 168.09177ms
countCombo3: Line=301, Cnt=3125, 374.81µs
countCombo3: Line=304, Cnt=1875, 628.352µs
countCombo3: Line=303, Cnt=1, 9.378µs
countCombo3: Line=306, Cnt=1, 8.151µs
countCombo3: Line=305, Cnt=41486976, 1.05134425s
countCombo3: Line=308, Cnt=171366, 37.287078ms
countCombo3: Line=126, Cnt=1319439758, 37.650521331s
countCombo3: Line=310, Cnt=6305616, 122.831151ms
countCombo3: Line=309, Cnt=5184, 289.815µs
countCombo3: Line=312, Cnt=27011250, 1.106706427s
countCombo3: Line=311, Cnt=702840, 16.301919ms
countCombo3: Line=314, Cnt=16420798, 1.559957326s
countCombo3: Line=313, Cnt=32, 23.118µs
countCombo3: Line=316, Cnt=618762, 57.382692ms
countCombo3: Line=315, Cnt=165888, 8.585623ms
countCombo3: Line=318, Cnt=32, 33.071µs
countCombo3: Line=317, Cnt=1, 18.093µs
countCombo3: Line=256, Cnt=887013939, 28.938035823s
countCombo3: Line=319, Cnt=8984571, 265.217393ms
countCombo3: Line=322, Cnt=81, 21.187µs
countCombo3: Line=321, Cnt=18102, 1.17655ms
countCombo3: Line=324, Cnt=162, 22.988µs
countCombo3: Line=323, Cnt=7776, 778.806µs
countCombo3: Line=326, Cnt=56376, 3.505756ms
countCombo3: Line=325, Cnt=14406, 776.722µs
countCombo3: Line=328, Cnt=32, 46.4µs
countCombo3: Line=327, Cnt=243, 987.11µs
countCombo3: Line=330, Cnt=1, 6.621µs
countCombo3: Line=329, Cnt=32, 12.948µs
countCombo3: Line=332, Cnt=14005, 363.056µs
countCombo3: Line=331, Cnt=2459536, 70.730188ms
countCombo3: Line=320, Cnt=18929775, 4.766536384s
countCombo3: Line=333, Cnt=71512, 2.317913ms
countCombo3: Line=336, Cnt=182530, 12.046472ms
countCombo3: Line=335, Cnt=32184, 1.08336ms
countCombo3: Line=334, Cnt=21978427, 1.198132696s
countCombo3: Line=337, Cnt=89, 36.87µs
countCombo3: Line=340, Cnt=7776, 458.351µs
countCombo3: Line=339, Cnt=19029, 756.914µs
countCombo3: Line=342, Cnt=32, 7.825µs
countCombo3: Line=341, Cnt=325447, 18.028579ms
countCombo3: Line=344, Cnt=385479, 14.247785ms
countCombo3: Line=343, Cnt=1, 13.491µs
countCombo3: Line=346, Cnt=384160, 26.404855ms
countCombo3: Line=345, Cnt=512, 582.821µs
countCombo3: Line=348, Cnt=1, 7.521µs
countCombo3: Line=347, Cnt=23796, 1.556657ms
countCombo3: Line=350, Cnt=16, 8.031µs
countCombo3: Line=349, Cnt=124416, 5.463962ms
countCombo3: Line=338, Cnt=170380656, 5.626670279s
countCombo3: Line=351, Cnt=81, 17.627µs
countCombo3: Line=354, Cnt=16, 23.108µs
countCombo3: Line=353, Cnt=5671802, 159.292971ms
countCombo3: Line=356, Cnt=5184, 263.288µs
countCombo3: Line=355, Cnt=59049, 2.013109ms
countCombo3: Line=358, Cnt=39366, 24.701511ms
countCombo3: Line=357, Cnt=89821184, 4.664626573s
countCombo3: Line=360, Cnt=162, 53.422µs
countCombo3: Line=359, Cnt=5184, 5.46381ms
countCombo3: Line=362, Cnt=28518883, 2.663968606s
countCombo3: Line=361, Cnt=32, 19.841µs
countCombo3: Line=364, Cnt=32, 13.599µs
countCombo3: Line=363, Cnt=6444, 1.844405ms
countCombo3: Line=366, Cnt=914832, 79.525536ms
countCombo3: Line=365, Cnt=32768, 1.520221ms
countCombo3: Line=368, Cnt=768, 177.967µs
countCombo3: Line=367, Cnt=5827456, 303.127853ms
countCombo3: Line=370, Cnt=512, 73.49µs
countCombo3: Line=369, Cnt=30618, 1.754194ms
countCombo3: Line=372, Cnt=5184, 348.588µs
countCombo3: Line=371, Cnt=162, 15.933µs
countCombo3: Line=307, Cnt=923025646, 39.952892032s
countCombo3: Line=373, Cnt=1250, 162.425µs
countCombo3: Line=376, Cnt=27747, 5.462779ms
countCombo3: Line=375, Cnt=48947084, 2.110066696s
countCombo3: Line=378, Cnt=1024, 1.471727ms
countCombo3: Line=377, Cnt=3888, 336.627µs
countCombo3: Line=380, Cnt=50000, 4.107306ms
countCombo3: Line=379, Cnt=6829, 319.62µs
countCombo3: Line=382, Cnt=202500, 44.925854ms
countCombo3: Line=381, Cnt=1, 129.061µs
countCombo3: Line=384, Cnt=243, 19.461µs
countCombo3: Line=383, Cnt=39366, 3.317765ms
countCombo3: Line=386, Cnt=32, 9.551µs
countCombo3: Line=385, Cnt=14763, 1.971702ms
countCombo3: Line=388, Cnt=122, 25.897µs
countCombo3: Line=387, Cnt=683, 55.929µs
countCombo3: Line=390, Cnt=1, 6.208µs
countCombo3: Line=389, Cnt=81, 12.819µs
countCombo3: Line=392, Cnt=23323561, 633.184352ms
countCombo3: Line=300, Cnt=1717741056, 49.40965146s
countCombo3: Line=394, Cnt=17477971, 530.32643ms
countCombo3: Line=393, Cnt=1, 17.767µs
countCombo3: Line=396, Cnt=86842750, 2.194666937s
countCombo3: Line=395, Cnt=218276, 7.926641ms
countCombo3: Line=398, Cnt=3181, 377.643µs
countCombo3: Line=397, Cnt=276992768, 16.29343275s
countCombo3: Line=400, Cnt=1889568, 56.61877ms
countCombo3: Line=399, Cnt=1, 30.13µs
countCombo3: Line=402, Cnt=596081094, 29.717775628s
countCombo3: Line=401, Cnt=12151748, 753.876985ms
countCombo3: Line=404, Cnt=32, 19.504µs
countCombo3: Line=403, Cnt=32, 14.587µs
countCombo3: Line=406, Cnt=32, 14.326µs
countCombo3: Line=405, Cnt=16384, 6.049161ms
countCombo3: Line=408, Cnt=256, 29.414µs
countCombo3: Line=407, Cnt=405047, 17.158308ms
countCombo3: Line=410, Cnt=589824, 68.369637ms
countCombo3: Line=409, Cnt=22062, 928.326µs
countCombo3: Line=412, Cnt=11019040, 503.284535ms
countCombo3: Line=411, Cnt=226129, 38.52537ms
countCombo3: Line=414, Cnt=275256, 131.925665ms
countCombo3: Line=413, Cnt=1, 14.066µs
countCombo3: Line=416, Cnt=1, 6.784µs
countCombo3: Line=415, Cnt=16166660, 447.018319ms
countCombo3: Line=418, Cnt=7203, 548.1µs
countCombo3: Line=417, Cnt=512, 126.923µs
countCombo3: Line=420, Cnt=768, 64.547µs
countCombo3: Line=419, Cnt=32, 25.452µs
countCombo3: Line=422, Cnt=567567, 64.876837ms
countCombo3: Line=421, Cnt=60000, 2.763402ms
countCombo3: Line=424, Cnt=1, 8.292µs
countCombo3: Line=423, Cnt=23743, 1.106446ms
countCombo3: Line=426, Cnt=81, 17.713µs
countCombo3: Line=425, Cnt=5293360, 309.657924ms
countCombo3: Line=428, Cnt=9604, 647.129µs
countCombo3: Line=427, Cnt=1046172, 61.201914ms
countCombo3: Line=430, Cnt=5184, 361.178µs
countCombo3: Line=429, Cnt=162, 32.757µs
countCombo3: Line=432, Cnt=32, 48.82µs
countCombo3: Line=431, Cnt=2500, 273.698µs
countCombo3: Line=434, Cnt=512, 32.236µs
countCombo3: Line=433, Cnt=2500, 189.234µs
countCombo3: Line=436, Cnt=50000, 4.086357ms
countCombo3: Line=435, Cnt=32, 25.647µs
countCombo3: Line=438, Cnt=5184, 398.265µs
countCombo3: Line=437, Cnt=16, 21.012µs
countCombo3: Line=440, Cnt=32, 18.918µs
countCombo3: Line=439, Cnt=436, 72.416µs
countCombo3: Line=442, Cnt=3494885, 223.462406ms
countCombo3: Line=441, Cnt=32, 36.577µs
countCombo3: Line=444, Cnt=207360, 7.919022ms
countCombo3: Line=96, Cnt=3595510256, 2m34.122287304s
countCombo3: Line=446, Cnt=1, 13.513µs
countCombo3: Line=445, Cnt=1, 11.939µs
countCombo3: Line=448, Cnt=32, 74.066µs
countCombo3: Line=447, Cnt=5468750, 389.471982ms
countCombo3: Line=450, Cnt=16807, 1.134189ms
countCombo3: Line=449, Cnt=29524, 2.431627ms
countCombo3: Line=452, Cnt=16, 8.151µs
countCombo3: Line=451, Cnt=1024, 84.756µs
countCombo3: Line=454, Cnt=1037985, 218.027849ms
countCombo3: Line=453, Cnt=2685636, 221.041909ms
countCombo3: Line=456, Cnt=15124, 1.965809ms
countCombo3: Line=455, Cnt=32, 10.55µs
countCombo3: Line=458, Cnt=62077676, 2.577377281s
countCombo3: Line=457, Cnt=780, 114.105µs
countCombo3: Line=460, Cnt=16267635, 14.184942205s
countCombo3: Line=459, Cnt=60000, 5.815806ms
countCombo3: Line=462, Cnt=512, 49.406µs
countCombo3: Line=461, Cnt=68, 16.367µs
countCombo3: Line=464, Cnt=1, 92.408µs
countCombo3: Line=463, Cnt=24576, 3.69888ms
countCombo3: Line=466, Cnt=305824, 14.86816ms
countCombo3: Line=465, Cnt=37386, 2.068799ms
countCombo3: Line=468, Cnt=512, 83.085µs
countCombo3: Line=467, Cnt=86627576, 1.843358164s
countCombo3: Line=470, Cnt=32, 23.444µs
countCombo3: Line=469, Cnt=3308, 312.239µs
countCombo3: Line=472, Cnt=1, 5.036µs
countCombo3: Line=471, Cnt=1, 14.37µs
countCombo3: Line=63, Cnt=1258181088, 3m5.687572625s
countCombo3: Line=473, Cnt=2734375, 166.15851ms
countCombo3: Line=476, Cnt=32, 96.456µs
countCombo3: Line=475, Cnt=1, 9.107µs
countCombo3: Line=478, Cnt=32, 8.792µs
countCombo3: Line=477, Cnt=8877939, 341.207424ms
countCombo3: Line=480, Cnt=32, 19.852µs
countCombo3: Line=479, Cnt=20772864, 549.687345ms
countCombo3: Line=482, Cnt=1881131, 43.358427ms
countCombo3: Line=481, Cnt=32, 15.336µs
countCombo3: Line=484, Cnt=1, 9.497µs
countCombo3: Line=483, Cnt=32, 10.821µs
countCombo3: Line=486, Cnt=6708330, 262.374613ms
countCombo3: Line=485, Cnt=6480, 439.487µs
countCombo3: Line=488, Cnt=47848, 2.03105ms
countCombo3: Line=487, Cnt=12005, 1.557178ms
countCombo3: Line=490, Cnt=75133, 2.828318ms
countCombo3: Line=489, Cnt=191102976, 11.914456441s
countCombo3: Line=492, Cnt=210007, 13.089973ms
countCombo3: Line=474, Cnt=3816853604, 1m20.643023766s
countCombo3: Line=491, Cnt=1435045753, 1m16.452527911s
countCombo3: Line=493, Cnt=4572736, 315.951865ms
countCombo3: Line=45, Cnt=11454171104, 4m38.851607578s
countCombo3: Line=495, Cnt=16, 20.426µs
countCombo3: Line=498, Cnt=1, 32.778µs
countCombo3: Line=497, Cnt=162, 21.382µs
countCombo3: Line=500, Cnt=184278, 5.910797ms
countCombo3: Line=499, Cnt=1, 26.136µs
countCombo3: Line=502, Cnt=32, 19.906µs
countCombo3: Line=501, Cnt=14763, 510.72µs
countCombo3: Line=504, Cnt=25031268, 1.745324717s
countCombo3: Line=503, Cnt=2178750, 92.8386ms
countCombo3: Line=506, Cnt=1, 33.712µs
countCombo3: Line=505, Cnt=39366, 1.02067ms
countCombo3: Line=508, Cnt=32, 26.418µs
countCombo3: Line=507, Cnt=472831, 36.549035ms
countCombo3: Line=510, Cnt=1, 27.622µs
countCombo3: Line=509, Cnt=32768, 2.118444ms
countCombo3: Line=512, Cnt=16384, 2.650101ms
countCombo3: Line=511, Cnt=18123, 2.492917ms
countCombo3: Line=514, Cnt=1250, 309.677µs
countCombo3: Line=513, Cnt=13122, 3.115626ms
countCombo3: Line=516, Cnt=171366, 7.638021ms
countCombo3: Line=515, Cnt=1, 6.154µs
countCombo3: Line=518, Cnt=32, 18.918µs
countCombo3: Line=517, Cnt=1882790, 162.157769ms
countCombo3: Line=520, Cnt=512, 50.524µs
countCombo3: Line=519, Cnt=16, 7.381µs
countCombo3: Line=522, Cnt=2592, 131.21µs
countCombo3: Line=521, Cnt=2383303, 56.392487ms
countCombo3: Line=524, Cnt=1, 27.102µs
countCombo3: Line=523, Cnt=121920, 14.079107ms
countCombo3: Line=526, Cnt=17215797, 1.691698057s
countCombo3: Line=525, Cnt=11528, 1.92006ms
countCombo3: Line=528, Cnt=16807, 534.186µs
countCombo3: Line=527, Cnt=16, 10.984µs
countCombo3: Line=530, Cnt=8192, 1.683396ms
countCombo3: Line=529, Cnt=512, 80.578µs
countCombo3: Line=532, Cnt=243, 21.794µs
countCombo3: Line=531, Cnt=17536, 792.406µs
countCombo3: Line=534, Cnt=81, 17.713µs
countCombo3: Line=533, Cnt=512, 183.275µs
countCombo3: Line=536, Cnt=3888, 317.894µs
countCombo3: Line=535, Cnt=32, 24.529µs
countCombo3: Line=538, Cnt=3278675, 103.356282ms
countCombo3: Line=537, Cnt=123169233, 8.993858104s
countCombo3: Line=540, Cnt=162, 31.823µs
countCombo3: Line=539, Cnt=1250, 321.963µs
countCombo3: Line=542, Cnt=370688, 24.308765ms
countCombo3: Line=541, Cnt=20480, 1.719268ms
countCombo3: Line=544, Cnt=302428, 13.277572ms
countCombo3: Line=543, Cnt=2345778, 173.502866ms
countCombo3: Line=546, Cnt=1, 10.93µs
